x exact r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30
-15.9 1.83549078461195e-25 1.119559332489169e-53 -2.268220647225424e-52 7.45225963924044e-51 -4.357739677335649e-50 1.528425730801983e-49 -4.439803512878482e-49 1.116139962863267e-48 -1.468156331760256e-48 2.113830320017529e-48 4.537688222191406e-49 -8.26260408529239e-49 1.694386901101469e-21 5.98466674639823e-22 -8.757835549508086e-22 -3.943702073372442e-22 3.53613482481759e-22 1.536186100534355e-22 8.954223579582379e-24 -4.745117823192539e-23 -2.038131347376702e-23 -1.919975929533453e-24 5.146528813640626e-24 1.837234810320665e-24 5.04950693942713e-25 -4.284791485770481e-28 -7.997351294831185e-26 -4.439922180309921e-26 -1.508313077342589e-26 -2.569387680384068e-27 2.423570918233436e-28
-15.75 -3.892097109615176e-25 1.183873952573726e-52 -2.395626046815897e-51 7.864877037413497e-50 -4.590453309594824e-49 1.609898799169676e-48 -4.664727533766977e-48 1.169606520521542e-47 -1.535023842837769e-47 2.205074556164055e-47 4.661768837876561e-48 -8.610682610902755e-48 2.109827496124926e-47 -4.827527935841455e-24 -6.729303075506669e-24 2.964126884448385e-23 8.868534868690441e-23 -5.545622413923668e-24 -1.397759866739169e-23 -6.903907677620642e-24 -5.853328395781691e-25 7.2250271251466e-25 7.912143078440876e-25 1.651635432631946e-25 -1.877288774549886e-26 -4.823535329918828e-26 -3.337845087712978e-26 -1.452959786517736e-26 -4.545033232529862e-27 -7.609631608032861e-28 2.194755685776832e-29
-15.6 9.231872274567418e-25 1.223720628568716e-51 -2.473147854155035e-50 8.112955604285651e-49 -4.726075712300999e-48 1.657289848463866e-47 -4.789513967350132e-47 1.197618669154805e-46 -1.568106429481064e-46 2.247262009788811e-46 4.675720935431602e-47 -8.766260684992485e-47 -1.066135573650568e-46 -1.158289365843565e-22 -2.632320523824565e-22 1.134777757021656e-22 1.524310061663257e-22 -4.366218351385309e-23 -3.811573645623809e-23 -7.779505770378818e-24 3.520512532871963e-24 2.699861330235422e-24 1.021402602172902e-24 -1.200207178357299e-25 -2.40199697433722e-25 -1.434214197685095e-25 -6.236369820127421e-26 -1.873593335810204e-26 -3.862844373847896e-27 3.296345594038309e-29 4.271438595514913e-28
-15.45 6.777618931707766e-24 1.23644255582046e-50 -2.495593438064174e-49 8.179826597376321e-48 -4.755428869194231e-47 1.667387853637722e-46 -4.805624880901306e-46 1.19823927311688e-45 -1.565092988017664e-45 2.237412653500093e-45 4.578215932825813e-46 -8.718278539583246e-46 -1.048403498785818e-45 3.409653941718402e-46 4.784181075738677e-23 3.084250493273669e-23 -4.161590260246142e-23 -4.432676612679564e-25 5.302289354731223e-24 2.672891778480703e-24 -1.314046502555897e-26 -3.386568942696046e-25 -3.474987594611934e-25 -6.580445188448684e-26 2.016876131493293e-26 2.747903909419854e-26 1.646742675326652e-26 6.427288592579489e-27 1.864997195868661e-27 2.53712441232559e-28 -4.388058208471506e-29
-15.3 2.365331159353974e-23 1.221171497585426e-49 -2.461418277570912e-48 8.060858059105008e-47 -4.676439772628873e-46 1.639476711050612e-45 -4.711851986582945e-45 1.171393088768085e-44 -1.526141447509991e-44 2.176126750697458e-44 4.375822665380053e-45 -8.469720124034555e-45 -1.006622039755818e-44 4.36687329014736e-45 2.647600858813058e-22 1.643882299019837e-22 -1.557044013249312e-22 -6.436006545385111e-23 -3.297896786703587e-24 1.937314710094174e-23 7.891161036529156e-24 5.956498523038099e-25 -2.182068463184257e-24 -7.511784914766331e-25 -1.853016034370306e-25 1.971913712901397e-26 4.348477034072684e-26 2.220388630650544e-26 7.135827902280564e-27 1.100556517542957e-27 -1.640947575661261e-28
-15.15 -7.403861069977716e-23 1.178925717673874e-48 -2.3729015313029e-47 7.763984571278789e-46 -4.494381769885225e-45 1.575418907776282e-44 -4.514464758782972e-44 1.118878866145241e-43 -1.453866245959613e-43 2.067525190791541e-43 4.082276963547113e-44 -8.03730915647155e-44 -9.436218833889215e-44 4.129196409718725e-44 -3.147942510937542e-44 -4.130934415927964e-24 1.814809612665198e-24 6.083645805822337e-24 2.428641644973197e-24 -3.047528740057608e-25 -4.291615790425792e-25 -1.21436417945554e-25 2.048240056584004e-26 9.249659313212335e-27 2.681126415822614e-27 1.770638462648235e-27 1.802936601068116e-27 1.381965901369681e-27 5.702597721596981e-28 1.648027846909031e-28 4.649966604021796e-29
-15 -2.150100111083179e-22 1.112497659094285e-47 -2.235894595810659e-46 7.308831852669175e-45 -4.221292231043761e-44 1.479449945596987e-43 -4.226517147205392e-43 1.044170025179271e-42 -1.353048119894345e-42 1.918791252175686e-42 3.716939855240038e-43 -7.449648341602008e-43 -8.635611188188537e-43 3.813204290754598e-43 4.5848524105342e-43 6.078095448747753e-24 2.196513060151653e-23 2.11991464336837e-24 -8.855036703032034e-25 -1.007025712253385e-24 -1.284905538115015e-25 8.90514899118481e-26 9.887745907692259e-26 1.775277198412644e-26 -3.388644925777753e-27 -7.481429877745945e-27 -4.689077093671365e-27 -1.880969339558619e-27 -4.294151397896943e-28 -2.323318294400872e-29 3.452409440719403e-29
-14.85 -1.324041005958289e-22 1.026148586191293e-46 -2.059181200149193e-45 6.724570408003355e-44 -3.874655893186696e-43 1.357715048918542e-42 -3.866419403444202e-42 9.520345928707208e-42 -1.230110960782807e-41 1.739384580157572e-41 3.302684826155422e-42 -6.744089370852979e-42 -7.714711882546497e-42 3.438912024977809e-42 4.100885619691443e-42 -2.289798558020083e-43 3.481855308129152e-25 -8.830267158450696e-25 -9.71576778002641e-25 -5.841048367565729e-26 1.936615857290099e-25 1.316164718335129e-25 4.541339355320751e-26 -3.23247326081918e-26 -1.601669093874736e-26 -3.437326059979249e-27 1.191552534173227e-27 1.832971338722166e-27 9.50992376566816e-28 3.104462861592498e-28 8.437496841803133e-29
-14.7 1.716942499198528e-21 9.251565938542794e-46 -1.853546286361036e-44 6.046824433497329e-43 -3.475554017062035e-42 1.217618579843544e-41 -3.455992155992423e-41 8.480321929934505e-41 -1.092445291990937e-40 1.540046906477914e-40 2.863534559898897e-41 -5.962809697816364e-41 -6.727348763084986e-41 3.028544624730514e-41 3.580629221547388e-41 -6.990821550620079e-42 -7.700335269046022e-23 -2.828012575890998e-23 1.563440905633259e-23 2.657801744695118e-23 7.427283502355216e-24 -2.670147139863284e-25 -2.671321657950044e-24 -7.881099117691705e-25 -1.305857673432055e-25 6.474236209473956e-26 6.869262931952033e-26 3.046260162718672e-26 9.50773313650141e-27 1.449615432993473e-27 -2.833474228595514e-28
-14.55 -3.680837831531487e-20 8.152845734668506e-45 -1.630690764983017e-43 5.314090906703526e-42 -3.046551447773655e-41 1.067081815501105e-40 -3.018288353226295e-40 7.379617696644046e-40 -9.47677280424702e-40 1.331744578966343e-39 2.422385539891577e-40 -5.148668073552572e-40 -5.725714281652122e-40 2.604370333919475e-40 3.051665163036179e-40 -6.018513320281669e-41 6.372658340427446e-41 -5.795340048272768e-25 -6.188726899782107e-25 8.420744994885084e-26 2.123100008742871e-25 8.989859962518244e-26 -2.534549976572934e-26 -4.886008049445165e-26 -2.09294455562679e-26 -2.937655638299774e-27 2.808326263524793e-27 2.677198450196091e-27 1.289537092710244e-27 3.910997470897468e-28 1.039551283794453e-28
