x exact r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30
-17.7 -2.334347006519144e-31 -6.827043567527652e-69 1.687988010788789e-67 -2.413347072048115e-66 4.389993421421606e-65 -2.714176230210466e-64 1.008842764445554e-63 -2.104262042267667e-20 2.474709754496267e-19 -4.184412568903633e-19 4.130982622011155e-19 4.152008832258364e-18 -6.256700391292659e-20 -4.161130702179739e-18 1.844440025101548e-19 1.817930872954875e-18 1.700056031206382e-19 -7.26348588332481e-19 -7.890606269348975e-20 7.034414568838317e-20 7.581848921612575e-20 1.773730805033618e-20 -3.431736891392812e-21 -8.534059397896488e-21 -2.010231878908188e-21 -1.39740650936669e-22 2.788435139254406e-22 2.14657039177771e-22 8.597164035515879e-23 2.396887348555297e-23 1.429869220409842e-24 -1.218025005578566e-24
-17.55 -4.512977798493908e-30 -9.489399174508769e-68 2.34401218772116e-66 -3.348299329239533e-65 6.086475404607365e-64 -3.758723934414697e-63 1.396091380250411e-62 -3.586993990888691e-62 2.272735006534831e-20 -4.072893694270354e-20 2.965218550613764e-20 4.234974118124917e-19 8.198077210122556e-21 -4.016413973084476e-19 3.762956592351815e-22 1.690326116969656e-19 2.331846587589075e-20 -6.316196794339604e-20 -1.0945795560023e-20 4.837461121221434e-21 7.66135917352535e-21 2.322117234234833e-21 -9.919600805965665e-23 -8.750205559651762e-22 -3.016990622223605e-22 -6.035976752446832e-23 1.980502919236947e-23 2.624564847294567e-23 1.331817694717794e-23 4.615798333351624e-24 6.887719281200756e-25 3.189413204976814e-26
-17.4 -6.626298010835599e-29 -1.289469534492718e-66 3.182005569245172e-65 -4.541138085083474e-64 8.248827542029809e-63 -5.088013402205653e-62 1.888415355031449e-61 -5.432474805894653e-61 4.251034056846419e-21 -5.274780976225832e-21 -1.186622292080774e-22 1.158856717656843e-19 5.207069899049859e-21 -1.122472670864092e-19 -9.959964426002227e-23 4.777559206204908e-20 6.493663472257408e-21 -1.845008400923601e-20 -2.915410786413159e-21 1.459313413824613e-21 2.092180074877599e-21 5.915432437015986e-22 -4.689672826521541e-23 -2.356571160735902e-22 -7.026288314485506e-23 -1.150735748581515e-23 5.841813278837705e-24 6.283414273920976e-24 2.948793951784822e-24 9.60456334194739e-25 1.201933727464131e-25 -8.839854964533419e-27
-17.25 -6.223101950064155e-28 -1.712964151180895e-65 4.222701772467483e-64 -6.020579914438694e-63 1.092797488059872e-61 -6.732207356637283e-61 2.496720851409879e-60 -7.17075433612319e-60 1.557327437251586e-59 2.386269716348995e-21 -5.563786509268263e-21 2.124983020911165e-20 3.842941936623337e-21 -1.978121249940468e-20 -1.824699358075417e-21 8.088019793333857e-21 1.808129793332023e-21 -3.007963765823455e-21 -7.668503140270992e-22 1.289492670547775e-22 3.821116275689562e-22 1.345223394363242e-22 3.434972347194355e-24 -4.288831064737078e-23 -1.562746937627139e-23 -3.696886161802063e-24 5.815521947687223e-25 1.12635838277162e-24 6.049365840196264e-25 2.16530678458344e-25 3.442984922820621e-26 2.628715718154815e-27
-17.1 -2.811206277426119e-27 -2.224583515904969e-64 5.478050641335519e-63 -7.802652218111936e-62 1.415157815530573e-60 -8.706907673534765e-60 3.226461536262625e-59 -9.251010989256357e-59 2.530909502170261e-58 -2.316058001903024e-22 -7.51005464168326e-21 5.586227734547715e-20 5.967837284350092e-21 -5.435595751358986e-20 -1.603446621314678e-21 2.318756204453639e-20 3.721192882646247e-21 -9.127354043565081e-21 -1.606841153720451e-21 6.593095386258388e-22 1.037731792351307e-21 2.989610795151524e-22 -2.30970822476189e-23 -1.177111096704261e-22 -3.283289602459532e-23 -4.83765038348451e-24 2.963802451794001e-24 2.883801662171332e-24 1.258880017939183e-24 3.733186595078373e-25 2.937312441844963e-26 -1.461422214975044e-26
-16.95 -7.054261343492853e-27 -2.82429971963621e-63 6.947130991542601e-62 -9.884927134979825e-61 1.79136561329554e-59 -1.100685400351096e-58 4.075323137295493e-58 -1.166446113444804e-57 3.184959622505935e-57 -4.500207189971746e-57 -2.672849424410369e-22 3.407977249779567e-21 4.26723988899985e-22 -3.242186311813808e-21 -2.446377076086812e-22 1.310562539379539e-21 2.695291361257542e-22 -4.700633551838371e-22 -1.185372877042727e-22 2.060091067247664e-23 6.228576164270167e-23 2.263673273577429e-23 1.128573530357906e-24 -7.011879232520322e-24 -2.944010586174532e-24 -7.728205595015442e-25 7.632247783476232e-26 2.150583761230876e-25 1.252335154150397e-25 4.77193322561813e-26 8.744812390923788e-27 1.333316226193864e-27
-16.8 1.068849935879579e-26 -3.505361337256786e-62 8.612441797367098e-61 -1.224133675981309e-59 2.216532213806912e-58 -1.360036806228271e-57 5.031198226288767e-57 -1.437423981027387e-56 3.916909639357863e-56 -5.638613969839465e-56 1.469661787642496e-22 -6.550043897288032e-21 -6.217214048302158e-23 6.529476317310969e-21 -1.951328459521866e-22 -2.856084981293183e-21 -3.049059128289765e-22 1.13814855603466e-21 1.410435084654546e-22 -1.05228132649676e-22 -1.232143706994174e-22 -3.060439795871345e-23 4.916403150640924e-24 1.408391243185126e-23 3.544951892935188e-24 3.318375462952322e-25 -4.482909154713468e-25 -3.653728837091406e-25 -1.492065951237956e-25 -4.147111982359714e-26 -2.095257760040648e-27 2.340412455479267e-27
-16.65 3.149245043085702e-26 -4.253172447290726e-61 1.043724616002724e-59 -1.481852836859491e-58 2.680837066111013e-57 -1.642560802876426e-56 6.070844773711501e-56 -1.731183385398294e-55 4.707467915954741e-55 -6.763022524365377e-55 1.043294639573081e-54 -1.352926863442142e-22 -2.029957900035565e-22 1.706234208625047e-22 1.131936458581282e-22 -5.709686167170847e-23 -6.100549473316109e-23 9.320963391140534e-24 2.374561126097909e-23 7.149280202988126e-24 -4.425093889311623e-24 -3.196074288023059e-24 -7.444892474969331e-25 4.923703602564761e-25 3.384937015997583e-25 1.341818113625228e-25 2.205779308263017e-26 -1.070620802272529e-26 -1.016212826496904e-26 -4.60117640445491e-27 -1.052518327276925e-27 -2.55019555276943e-28
-16.5 -1.938215892979076e-25 -5.044865155101439e-60 1.236464638241138e-58 -1.753471512750741e-57 3.169343142959117e-56 -1.938967324709641e-55 7.159610053395209e-55 -2.037662062009194e-54 5.528748563707081e-54 -7.926308683030076e-54 1.16315402173912e-53 9.402434606500168e-22 6.718830533668923e-22 -9.826976955257382e-22 -3.613423156569455e-22 3.820114128614599e-22 1.881632825320071e-22 -1.447920189089313e-22 -7.288180957333986e-23 -7.436686771105502e-24 2.146944268613786e-23 9.847695108368239e-24 1.065106599929682e-24 -2.400237785344767e-24 -8.829781404937891e-25 -2.498202458794608e-25 -3.849377846160018e-27 3.813749834921264e-26 2.104026904749827e-26 6.949463529469064e-27 7.087357374683007e-28 -1.914116756744943e-28
-16.35 1.326888648218547e-25 -5.849794547775458e-59 1.431893890301219e-57 -2.028178378991677e-56 3.662404320565915e-55 -2.237136146153187e-54 8.252510218131136e-54 -2.343930214850452e-53 6.34531187513926e-53 -9.077208688699301e-53 1.329242784496529e-52 -6.155945047684313e-53 -3.333739766487089e-23 -2.050498267797688e-22 -3.900782744285849e-23 1.088533410984538e-22 3.176519471234743e-23 -4.395635237308662e-23 -1.092800597103939e-23 1.394130692704168e-24 4.973122346301191e-24 1.679321861859013e-24 3.738844721972336e-26 -5.504515884997614e-25 -1.572076410156159e-25 -3.078739051945786e-26 7.435390929758315e-27 9.747500523078407e-27 4.179206999029843e-27 1.111895010969607e-27 5.672372361131366e-31 -1.040157702100658e-28
